id;entity_type;entity_id;payload;status;retry_count;created_at_utc;last_attempt_utc
16;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718190472_28.590114_77.435369;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5901143,"longitude":77.4353691,"accuracy":24.74799919128418,"speed":1.6703964471817017,"timestamp_utc":"2026-02-10T10:09:50.472095Z"};FAILED;1;2026-02-10T10:09:50.496289Z;
17;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718229196_28.590148_77.435352;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5901476,"longitude":77.435352,"accuracy":35.17900085449219,"speed":0.8667492866516113,"timestamp_utc":"2026-02-10T10:10:29.196849Z"};FAILED;1;2026-02-10T10:10:29.205945Z;
18;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718240564_28.590142_77.435412;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5901424,"longitude":77.4354125,"accuracy":42.5,"speed":0.8683890700340271,"timestamp_utc":"2026-02-10T10:10:40.564960Z"};FAILED;1;2026-02-10T10:10:40.576499Z;
19;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718251036_28.590250_77.435251;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5902505,"longitude":77.4352507,"accuracy":23.600000381469727,"speed":1.6336332559585571,"timestamp_utc":"2026-02-10T10:10:51.036920Z"};FAILED;1;2026-02-10T10:10:51.044287Z;
20;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718270873_28.590166_77.435348;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5901661,"longitude":77.4353484,"accuracy":26.423999786376953,"speed":0.6564575433731079,"timestamp_utc":"2026-02-10T10:11:10.873286Z"};FAILED;1;2026-02-10T10:11:10.885760Z;
21;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718357468_28.590084_77.434591;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5900841,"longitude":77.4345913,"accuracy":6.669000148773193,"speed":2.1600000858306885,"timestamp_utc":"2026-02-10T10:12:37.468248Z"};FAILED;1;2026-02-10T10:12:37.491130Z;
22;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718367474_28.589807_77.434944;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5898073,"longitude":77.4349439,"accuracy":8.109999656677246,"speed":4.460000038146973,"timestamp_utc":"2026-02-10T10:12:47.474005Z"};FAILED;1;2026-02-10T10:12:47.527320Z;
23;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718377472_28.589718_77.435389;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5897184,"longitude":77.4353892,"accuracy":6.796999931335449,"speed":1.2999999523162842,"timestamp_utc":"2026-02-10T10:12:57.472135Z"};FAILED;1;2026-02-10T10:12:57.501316Z;
24;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718387461_28.590037_77.435855;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5900368,"longitude":77.4358546,"accuracy":6.853000164031982,"speed":4.71999979019165,"timestamp_utc":"2026-02-10T10:13:07.461691Z"};FAILED;1;2026-02-10T10:13:07.485607Z;
25;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718397467_28.590330_77.436215;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5903298,"longitude":77.4362146,"accuracy":3.7899999618530273,"speed":1.159999966621399,"timestamp_utc":"2026-02-10T10:13:17.467559Z"};FAILED;1;2026-02-10T10:13:17.551824Z;
26;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718407457_28.590830_77.435878;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5908304,"longitude":77.435878,"accuracy":5.019000053405762,"speed":9.9399995803833,"timestamp_utc":"2026-02-10T10:13:27.457085Z"};FAILED;1;2026-02-10T10:13:27.470323Z;
27;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718417473_28.591785_77.435314;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5917852,"longitude":77.4353136,"accuracy":9.9350004196167,"speed":12.770000457763672,"timestamp_utc":"2026-02-10T10:13:37.473478Z"};FAILED;1;2026-02-10T10:13:37.493874Z;
28;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718427472_28.592340_77.434978;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5923404,"longitude":77.4349781,"accuracy":9.956000328063965,"speed":1.899999976158142,"timestamp_utc":"2026-02-10T10:13:47.472222Z"};FAILED;1;2026-02-10T10:13:47.498603Z;
29;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718437486_28.592733_77.434800;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5927326,"longitude":77.4348001,"accuracy":9.9350004196167,"speed":7.940000057220459,"timestamp_utc":"2026-02-10T10:13:57.486638Z"};FAILED;1;2026-02-10T10:13:57.509262Z;
30;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718447469_28.593623_77.434184;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5936229,"longitude":77.4341842,"accuracy":9.965999603271484,"speed":14.109999656677246,"timestamp_utc":"2026-02-10T10:14:07.469548Z"};FAILED;1;2026-02-10T10:14:07.493430Z;
